Jahr;Szenario;DE (ct/km);PL (ct/km);CZ (ct/km);Gap DE-PL;Gap DE-CZ
2021;optimistisch;19,0;11,0;14,0;8,0;5,0
2022;optimistisch;20,0;12,0;14,5;8,0;5,5
2023;optimistisch;22,0;13,0;15,0;9,0;7,0
2024;optimistisch;47,0;16,0;18,0;31,0;29,0
2025;optimistisch;50,0;17,0;19,0;33,0;31,0
2026;optimistisch;50,4;18,4;20,3;32,0;30,1
2027;optimistisch;54,0;21,4;23,6;32,6;30,4
2028;optimistisch;57,6;23,3;25,5;34,4;32,1
2029;optimistisch;58,4;25,1;27,3;33,3;31,1
2030;optimistisch;59,0;27,0;29,1;32,0;29,9
2021;basis;19,0;11,0;14,0;8,0;5,0
2022;basis;20,0;12,0;14,5;8,0;5,5
2023;basis;22,0;13,0;15,0;9,0;7,0
2024;basis;47,0;16,0;18,0;31,0;29,0
2025;basis;50,0;17,0;19,0;33,0;31,0
2026;basis;50,4;18,4;20,3;32,0;30,1
2027;basis;57,0;22,9;25,4;34,1;31,6
2028;basis;60,7;24,8;27,4;35,9;33,3
2029;basis;61,9;26,9;29,4;35,0;32,5
2030;basis;63,1;29,1;31,5;34,1;31,6
2021;pessimistisch;19,0;11,0;14,0;8,0;5,0
2022;pessimistisch;20,0;12,0;14,5;8,0;5,5
2023;pessimistisch;22,0;13,0;15,0;9,0;7,0
2024;pessimistisch;47,0;16,0;18,0;31,0;29,0
2025;pessimistisch;50,0;17,0;19,0;33,0;31,0
2026;pessimistisch;50,4;18,4;20,3;32,0;30,1
2027;pessimistisch;59,7;24,2;27,1;35,5;32,7
2028;pessimistisch;64,8;26,9;29,8;37,9;35,0
2029;pessimistisch;66,7;29,2;32,2;37,4;34,4
2030;pessimistisch;68,6;31,8;34,8;36,8;33,7
